"week_num","dogwins","games","weekscore"
2,50,498,0.100401606425703
3,52,577,0.0901213171577123
4,52,550,0.0945454545454545
5,74,755,0.0980132450331126
6,74,689,0.107402031930334
7,55,672,0.0818452380952381
8,75,727,0.103163686382393
9,74,770,0.0961038961038961
10,55,701,0.0784593437945792
11,74,717,0.103207810320781
12,42,487,0.0862422997946612
13,48,532,0.0902255639097744
14,50,684,0.0730994152046784
15,55,724,0.0759668508287293
16,55,680,0.0808823529411765
17,58,711,0.0815752461322082
18,82,759,0.108036890645586
19,58,690,0.0840579710144927
20,36,395,0.0911392405063291
32,38,386,0.0984455958549223
33,33,555,0.0594594594594595
34,62,673,0.0921248142644874
35,58,562,0.103202846975089
37,68,682,0.0997067448680352
38,62,795,0.0779874213836478
39,70,942,0.0743099787685775
40,51,570,0.0894736842105263
42,68,662,0.102719033232628
43,81,765,0.105882352941176
44,87,870,0.1
45,67,669,0.100149476831091
46,39,355,0.109859154929577
47,56,674,0.0830860534124629
48,53,710,0.0746478873239437
49,77,766,0.100522193211488
50,56,668,0.0838323353293413
51,57,541,0.105360443622921
